user_id,gold_signup_date,
8,2015-02-09,
6,2015-02-27,
12,2015-03-02,
22,2015-07-28,
28,2015-08-14,
5,2015-08-28,
48,2015-09-05,
9,2015-10-12,
21,2015-10-15,
59,2016-01-23,
78,2016-01-24,
26,2016-02-10,
54,2016-03-20,
85,2016-05-25,
47,2016-06-13,
75,2016-08-07,
70,2016-08-24,
69,2016-09-10,
94,2016-10-26,
86,2016-11-14,
130,2017-01-19,
133,2017-02-06,
89,2017-03-23,
97,2017-03-24,
105,2017-05-28,
108,2017-06-28,
156,2017-07-26,
158,2017-08-27,
128,2017-09-28,
148,2017-10-11,
177,2017-11-02,
186,2018-02-22,
153,2018-02-27,
160,2018-03-07,
145,2018-03-20,
190,2018-03-27,
197,2018-04-05,
174,2018-04-11,
167,2018-04-24,
234,2018-04-29,
207,2018-05-10,
203,2018-05-13,
170,2018-06-02,
195,2018-06-16,
208,2018-07-23,
236,2018-08-11,
245,2018-08-26,
251,2018-09-23,
204,2018-10-30,
259,2018-11-03,
257,2018-11-18,
206,2018-11-30,
238,2018-12-10,
264,2019-01-28,
279,2019-01-30,
282,2019-02-17,
312,2019-02-18,
214,2019-02-22,
262,2019-03-11,
272,2019-03-29,
326,2019-04-24,
271,2019-04-30,
268,2019-07-06,
289,2019-07-11,
309,2019-07-22,
313,2019-11-17,
390,2020-03-09,
393,2020-03-12,
374,2020-04-03,
407,2020-06-20,
361,2020-07-29,
398,2020-08-23,
451,2021-04-08,
414,2021-05-15,
472,2021-09-08,
515,2022-03-11,
507,2022-03-16,
508,2022-04-02,
504,2022-05-09,
536,2022-06-06,
557,2022-10-04,
592,2022-12-31,
585,2023-04-12,
622,2023-08-06,
645,2023-10-30,
604,2023-12-09,
615,2023-12-24,
621,2023-12-29,
656,2024-07-18,
,,
,,
,,
,,
